age,sex,ftotinc,n
27,male,"$50,000 to $54,999",859
27,male,"$55,000 to $59,999",653
27,male,"$60,000 to $64,999",806
27,male,"$65,000 to $69,999",591
27,male,"$70,000 to $74,999",646
27,male,"$75,000 to $79,999",544
27,male,"$80,000 to $84,999",552
27,male,"$85,000 to $89,999",448
27,male,"$90,000 to $94,999",425
27,male,"$95,000 to $99,999",338
27,male,"Less than $14,999",1198
27,female,"$100,000 to $124,999",1476
27,female,"$125,000 to $149,999",899
27,female,"$15,000 to $19,999",680
27,female,"$150,000 to $174,999",577
27,female,"$175,000 to $199,999",347
27,female,"$20,000 to $24,999",907
27,female,"$200,000 to $249,999",352
27,female,"$25,000 to $29,999",850
27,female,"$250,000 and above",902
27,female,"$30,000 to $34,999",1036
27,female,"$35,000 to $39,999",926
27,female,"$40,000 to $44,999",958
27,female,"$45,000 to $49,999",783
27,female,"$50,000 to $54,999",894
27,female,"$55,000 to $59,999",696
27,female,"$60,000 to $64,999",795
27,female,"$65,000 to $69,999",596
27,female,"$70,000 to $74,999",629
27,female,"$75,000 to $79,999",534
27,female,"$80,000 to $84,999",544
27,female,"$85,000 to $89,999",434
27,female,"$90,000 to $94,999",417
27,female,"$95,000 to $99,999",362
27,female,"Less than $14,999",1554
28,male,"$100,000 to $124,999",1709
28,male,"$125,000 to $149,999",896
28,male,"$15,000 to $19,999",607
28,male,"$150,000 to $174,999",613
28,male,"$175,000 to $199,999",408
28,male,"$20,000 to $24,999",833
28,male,"$200,000 to $249,999",453
28,male,"$25,000 to $29,999",778
28,male,"$250,000 and above",2081
28,male,"$30,000 to $34,999",1027
28,male,"$35,000 to $39,999",887
28,male,"$40,000 to $44,999",957
28,male,"$45,000 to $49,999",835
28,male,"$50,000 to $54,999",941
28,male,"$55,000 to $59,999",661
28,male,"$60,000 to $64,999",766
28,male,"$65,000 to $69,999",618
28,male,"$70,000 to $74,999",673
28,male,"$75,000 to $79,999",564
28,male,"$80,000 to $84,999",625
28,male,"$85,000 to $89,999",466
28,male,"$90,000 to $94,999",465
28,male,"$95,000 to $99,999",375
28,male,"Less than $14,999",1200
28,female,"$100,000 to $124,999",1617
28,female,"$125,000 to $149,999",955
28,female,"$15,000 to $19,999",675
28,female,"$150,000 to $174,999",657
28,female,"$175,000 to $199,999",357
28,female,"$20,000 to $24,999",863
28,female,"$200,000 to $249,999",415
28,female,"$25,000 to $29,999",861
28,female,"$250,000 and above",906
28,female,"$30,000 to $34,999",1017
28,female,"$35,000 to $39,999",898
28,female,"$40,000 to $44,999",945
28,female,"$45,000 to $49,999",849
28,female,"$50,000 to $54,999",937
28,female,"$55,000 to $59,999",677
28,female,"$60,000 to $64,999",817
28,female,"$65,000 to $69,999",623
28,female,"$70,000 to $74,999",743
28,female,"$75,000 to $79,999",611
28,female,"$80,000 to $84,999",590
28,female,"$85,000 to $89,999",470
28,female,"$90,000 to $94,999",486
28,female,"$95,000 to $99,999",398
28,female,"Less than $14,999",1458
29,male,"$100,000 to $124,999",1746
29,male,"$125,000 to $149,999",1008
29,male,"$15,000 to $19,999",553
29,male,"$150,000 to $174,999",662
29,male,"$175,000 to $199,999",389
29,male,"$20,000 to $24,999",786
29,male,"$200,000 to $249,999",474
29,male,"$25,000 to $29,999",765
29,male,"$250,000 and above",2022
29,male,"$30,000 to $34,999",946
29,male,"$35,000 to $39,999",894
29,male,"$40,000 to $44,999",965
29,male,"$45,000 to $49,999",800
29,male,"$50,000 to $54,999",933
29,male,"$55,000 to $59,999",654
29,male,"$60,000 to $64,999",868
29,male,"$65,000 to $69,999",672
29,male,"$70,000 to $74,999",706
29,male,"$75,000 to $79,999",576
29,male,"$80,000 to $84,999",608
29,male,"$85,000 to $89,999",466
29,male,"$90,000 to $94,999",537
29,male,"$95,000 to $99,999",413
29,male,"Less than $14,999",1140
29,female,"$100,000 to $124,999",1856
29,female,"$125,000 to $149,999",1057
29,female,"$15,000 to $19,999",675
29,female,"$150,000 to $174,999",671
29,female,"$175,000 to $199,999",399
29,female,"$20,000 to $24,999",879
29,female,"$200,000 to $249,999",446
29,female,"$25,000 to $29,999",855
29,female,"$250,000 and above",971
29,female,"$30,000 to $34,999",994
29,female,"$35,000 to $39,999",877
29,female,"$40,000 to $44,999",951
29,female,"$45,000 to $49,999",824
29,female,"$50,000 to $54,999",956
29,female,"$55,000 to $59,999",689
